attack,mode,mean_bit_accuracy,message_success_rate,num_samples
center_crop_0.5,A_base,0.500000,0.0000,50
center_crop_0.5,B_ms,0.540000,0.0800,50
center_crop_0.5,C_ms_geo,0.540000,0.0800,50
center_crop_0.5,D_ecc,0.987500,0.9000,50
center_crop_0.5,E_ms_ecc,0.995000,0.9600,50
center_crop_0.5,F_ms_ecc_geo,0.995000,0.9600,50
flip_h,A_base,0.638125,0.0000,50
flip_h,B_ms,0.618125,0.0000,50
flip_h,C_ms_geo,0.618125,0.0000,50
flip_h,D_ecc,0.895000,0.2600,50
flip_h,E_ms_ecc,0.895000,0.2600,50
flip_h,F_ms_ecc_geo,0.895000,0.2600,50
jpeg_q30,A_base,0.998750,0.9600,50
jpeg_q30,B_ms,0.824375,0.4200,50
jpeg_q30,C_ms_geo,0.824375,0.4200,50
jpeg_q30,D_ecc,1.000000,1.0000,50
jpeg_q30,E_ms_ecc,1.000000,1.0000,50
jpeg_q30,F_ms_ecc_geo,1.000000,1.0000,50
none,A_base,0.999375,0.9800,50
none,B_ms,0.856875,0.4400,50
none,C_ms_geo,0.856875,0.4400,50
none,D_ecc,1.000000,1.0000,50
none,E_ms_ecc,1.000000,1.0000,50
none,F_ms_ecc_geo,1.000000,1.0000,50
random_crop_0.5,A_base,0.510000,0.0000,50
random_crop_0.5,B_ms,0.576875,0.0400,50
random_crop_0.5,C_ms_geo,0.576875,0.0400,50
random_crop_0.5,D_ecc,0.902500,0.5800,50
random_crop_0.5,E_ms_ecc,0.842500,0.4200,50
random_crop_0.5,F_ms_ecc_geo,0.842500,0.4200,50
resize_0.25,A_base,0.941250,0.0800,50
resize_0.25,B_ms,0.899375,0.0600,50
resize_0.25,C_ms_geo,0.899375,0.0600,50
resize_0.25,D_ecc,0.875000,0.0200,50
resize_0.25,E_ms_ecc,0.875000,0.0200,50
resize_0.25,F_ms_ecc_geo,0.875000,0.0200,50
rotate_73,A_base,0.423750,0.0000,50
rotate_73,B_ms,0.456250,0.0000,50
rotate_73,C_ms_geo,0.863125,0.0000,50
rotate_73,D_ecc,1.000000,1.0000,50
rotate_73,E_ms_ecc,0.997500,0.9800,50
rotate_73,F_ms_ecc_geo,0.997500,0.9800,50
