image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000000139.png,none,1.000000,1,rep4_interleaved,8
000000000139.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000139.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000139.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000139.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000139.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000139.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000139.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000139.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000139.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000285.png,none,1.000000,1,rep4_interleaved,8
000000000285.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000285.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000285.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000285.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000285.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000285.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000285.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000285.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000285.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000632.png,none,1.000000,1,rep4_interleaved,8
000000000632.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000632.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000632.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000632.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000632.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000632.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000632.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000632.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000632.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000724.png,none,1.000000,1,rep4_interleaved,8
000000000724.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000724.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000724.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000724.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000724.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000724.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000724.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000724.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000724.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000776.png,none,1.000000,1,rep4_interleaved,8
000000000776.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000776.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000776.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000776.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000776.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000776.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000776.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000776.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000776.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000785.png,none,1.000000,1,rep4_interleaved,8
000000000785.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000785.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000785.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000785.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000785.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000785.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000785.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000785.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000785.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000802.png,none,1.000000,1,rep4_interleaved,8
000000000802.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000802.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000802.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000802.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000802.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000802.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000802.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000802.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000802.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000872.png,none,1.000000,1,rep4_interleaved,8
000000000872.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000872.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000872.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000872.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000872.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000872.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000872.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000872.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000000872.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000000885.png,none,1.000000,1,rep4_interleaved,8
000000000885.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000885.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000885.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000885.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000885.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000000885.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000000885.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000000885.png,resize_0.25,1.000000,1,rep4_interleaved,8
000000000885.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000001000.png,none,1.000000,1,rep4_interleaved,8
000000001000.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001000.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001000.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001000.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001000.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000001000.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000001000.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000001000.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000001000.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000001268.png,none,1.000000,1,rep4_interleaved,8
000000001268.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001268.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001268.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001268.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001268.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000001268.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000001268.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000001268.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000001268.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000001296.png,none,1.000000,1,rep4_interleaved,8
000000001296.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001296.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001296.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000001296.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001296.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000001296.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000001296.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000001296.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000001296.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000001353.png,none,1.000000,1,rep4_interleaved,8
000000001353.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001353.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001353.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001353.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001353.png,jpeg_q10,1.000000,1,rep4_interleaved,8
