method,attack,mean_bit_accuracy,message_success_rate,num_samples
multi_scale,center_crop_0.5,1.000000,1.0000,50
multi_scale,center_crop_0.75,1.000000,1.0000,50
multi_scale,jpeg_q30,0.997500,0.9200,50
multi_scale,none,1.000000,1.0000,50
multi_scale,random_crop_0.5,0.697500,0.0000,50
single_scale,center_crop_0.5,0.503750,0.0000,50
single_scale,center_crop_0.75,0.534375,0.0000,50
single_scale,jpeg_q30,0.997500,0.9200,50
single_scale,none,1.000000,1.0000,50
single_scale,random_crop_0.5,0.515000,0.0000,50
