scheme,scenario,attack,decode_method,source_idx,source_image,target_message,predicted_message,bit_accuracy,source_success,mask_pixels,used_fallback,composite_psnr,box
single_center50_s2.5,two_sources_downsize,none,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,none,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,33376,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,none,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,33225,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,none,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,none,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,32981,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,none,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,32872,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,10110000100101110111011111110010,0.843750,0,23355,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,10110000100101110111011111110010,0.843750,0,22563,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,01000100000110100100010100010010,0.593750,0,6699,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,01000100000110100100010101010010,0.625000,0,6127,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,00110000000100010111001110011010,0.656250,0,2904,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,00110000000100010111001110011010,0.656250,0,2727,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00000100000000000000000000000100,0.343750,0,1055,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00000100000001000000000000101100,0.375000,0,1243,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,10110000000100110110011111011010,0.687500,0,10438,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,10110000000100100110011011010010,0.656250,0,6472,0,43.3405,"34,42,222,230"
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,01100111000110110100010101000010,0.656250,0,4878,0,43.3405,"270,172,450,352"
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,01100111000110110100010101000010,0.656250,0,4846,0,43.3405,"270,172,450,352"
single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000001000000000000000011000010,0.375000,0,3472,0,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,45497,0,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,45549,0,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000001000000000000000011000010,0.281250,0,3472,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,54494,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,54704,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00000001000000000000000011000010,0.468750,0,3472,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,11101110111011000111100001000010,1.000000,1,47084,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,11101110111011000111100001000010,1.000000,1,47190,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00110001010100000010000010010000,0.437500,0,3702,0,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00110001010100000010000010010000,0.343750,0,3702,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00000000000010000000000000010011,0.406250,0,12275,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000010011,0.375000,0,13003,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00110001010100000010000010010000,0.406250,0,3702,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000010000000000000,0.500000,0,1812,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,00000100000010000010000000010000,0.531250,0,1893,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,10000000000000000000000000000000,0.406250,0,72,0,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,10000000000000000000000000000000,0.375000,0,72,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000010001,0.406250,0,96,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,10000000000000000000000000000000,0.500000,0,72,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.468750,0,177,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.468750,0,291,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00110001000100000000000011010001,0.375000,0,3720,0,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"30,36,164,170"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00110001000100000000000011010001,0.406250,0,3720,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000010011,0.375000,0,39,0,43.3363,"188,88,318,218"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00110001000100000000000011010001,0.343750,0,3720,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.468750,0,202,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.468750,0,40,0,43.3363,"336,260,466,390"
single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,47262,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,47141,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,42046,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,42495,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,11101110111011000111100001000010,1.000000,1,45384,0,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,11101110111011000111100001000010,1.000000,1,45541,0,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000100000001010001,0.312500,0,2210,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000100000001010001,0.312500,0,2084,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00100000000010000000000001000011,0.437500,0,800,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00100000000000000000000001000011,0.406250,0,81,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,2,1,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,11000000000011001000000100100000,0.531250,0,2802,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,11000000000011001000000100100000,0.531250,0,2648,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,2,1,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,10001000000000000100000100001000,0.437500,0,10062,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,10001000000010000100000100101000,0.500000,0,9743,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,2,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,10000001001100001000000001100010,0.500000,0,7026,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,10000001001100001000000000100011,0.500000,0,6864,0,40.3176,"40,280,216,456"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,01100000010010000000001101000000,0.562500,0,77,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,01100000010010000000001001000000,0.531250,0,248,0,40.3176,"166,36,342,212"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,2,gauguin_256.jpg,11101110111011000111100001000010,00000000000000000000000000000000,0.000000,0,0,1,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,2,gauguin_256.jpg,11101110111011000111100001000010,01101010010011000001000000010100,0.656250,0,5384,0,40.3176,"300,244,484,428"
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,2,gauguin_256.jpg,11101110111011000111100001000010,01111010010011000001100000000100,0.687500,0,5394,0,40.3176,"300,244,484,428"
full_material_s2.5,two_sources_downsize,none,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,none,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,65536,0,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,none,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,11110000101101111111011110100010,1.000000,1,65536,0,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,none,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,none,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,65536,0,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,none,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,11100110010110111101011101111001,1.000000,1,65536,0,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,10110000101101110110011111110010,0.843750,0,59845,0,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,10110000101101110111011111110010,0.875000,0,53852,0,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00100110010110111101011101111010,0.875000,0,31527,0,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00100110010110111101011101111010,0.875000,0,31043,0,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0,alpaca.jpg,11110000101101111111011110100010,00000000000000000000000000000000,0.000000,0,0,1,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0,alpaca.jpg,11110000101101111111011110100010,10110000000100010111001110011010,0.687500,0,3509,0,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0,alpaca.jpg,11110000101101111111011110100010,10110000000100010111001110011010,0.687500,0,3308,0,40.3881,"34,42,222,230"
full_material_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,1,ducks.jpg,11100110010110111101011101111001,00000000000000000000000000000000,0.000000,0,0,1,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,1,ducks.jpg,11100110010110111101011101111001,00000010000110000000011010010110,0.437500,0,3827,0,40.3881,"270,172,450,352"
full_material_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,1,ducks.jpg,11100110010110111101011101111001,00000100100110110000011010010010,0.500000,0,2153,0,40.3881,"270,172,450,352"
