scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
coverage_default_q30_s2.5,bright_contrast_jpeg80,0.993750,0.968750,0.800000,12.3474,5
coverage_default_q30_s2.5,brightness_1.5,0.943750,0.906250,0.200000,12.3474,5
coverage_default_q30_s2.5,contrast_1.5,0.931250,0.906250,0.000000,12.3474,5
coverage_default_q30_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,12.3474,5
coverage_default_q30_s2.5,jpeg_q30,1.000000,1.000000,1.000000,12.3474,5
coverage_default_q30_s2.5,jpeg_q50,1.000000,1.000000,1.000000,12.3474,5
coverage_default_q30_s2.5,median_filter_3,0.962500,0.906250,0.400000,12.3474,5
coverage_default_q30_s2.5,none,0.893750,0.875000,0.000000,12.3474,5
coverage_default_q30_s2.5,resize_0.5_jpeg50,1.000000,1.000000,1.000000,12.3474,5
coverage_default_q30_s2.5,saturation_1.5,0.925000,0.906250,0.000000,12.3474,5
coverage_default_q30_s2.5,saturation_sharpness_webp80,0.987500,0.968750,0.600000,12.3474,5
coverage_default_q30_s2.5,sharpness_2.0,0.956250,0.906250,0.200000,12.3474,5
coverage_default_q30_s2.5,webp_q50,1.000000,1.000000,1.000000,12.3474,5
coverage_default_q30_s2.5,webp_q80,1.000000,1.000000,1.000000,12.3474,5
coverage_robust_q50_s2.5,bright_contrast_jpeg80,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,brightness_1.5,0.975000,0.937500,0.400000,10.1640,5
coverage_robust_q50_s2.5,contrast_1.5,0.975000,0.968750,0.200000,10.1640,5
coverage_robust_q50_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,jpeg_q30,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,jpeg_q50,1.000000,1.000000,1.000000,10.1640,5
coverage_robust_q50_s2.5,median_filter_3,0.987500,0.968750,0.600000,10.1640,5
